2025-11-12 19:06:33,!15f12ed7,Mojave Hills [ᛚᚬᚴᛅᚴᛁᚾ] ,-8.5,-8.5,4,2025-11-12 19:05:25,online
2025-11-12 19:06:33,!75e9aa74,Meshtastic aa74,0,0,0,Never,offline
2025-11-12 19:06:33,!c53cf974,👀 I See You [pf],0,0,0,Never,offline
2025-11-12 19:06:33,!f660edf4,Meshtastic edf4,0,0,0,Never,offline
2025-11-12 19:06:33,!38ba786a,Maridia,0,0,0,Never,offline
2025-11-12 19:06:33,!9c048d2a,PalaceStation,0,0,0,Never,offline
2025-11-12 19:06:33,!fb6d0309,SCS Mobile M1A2,0,0,0,Never,offline
2025-11-12 19:06:33,!0e998fe8,Lifehouse1,0,0,0,Never,offline
2025-11-12 19:06:33,!3b46af94,Meshtastic af94,-1.75,-1.75,3,2025-11-12 19:02:15,online
2025-11-12 19:06:33,!ba662148,Meshtastic 2148,6.0,6.0,4,2025-11-12 19:04:23,online
2025-11-12 19:06:33,!f4fa3659,Meshtastic 3659,0,0,0,Never,offline
2025-11-12 19:07:06,!9e761374,Meshtastic 1374,0,0,0,2025-11-12 19:06:22,online
2025-11-12 19:07:06,!f71e3ba8,Salem Mobile [ᛚᚬᚴᛅᚴᛁᚾ],-12.5,-12.5,1,2025-11-12 18:40:11,offline
2025-11-12 19:07:06,!4ecf2b4c,Decktastic,0,0,0,Never,offline
2025-11-12 19:07:06,!6eb6e0f5,BlackJack,-19.25,-19.25,1,2025-11-12 19:03:35,online
2025-11-12 19:07:06,!1fa04dd0,TBm HB 4dd0,-13.0,-13.0,0,2025-11-12 19:04:32,online
2025-11-12 19:07:06,!4a14d2cc,Meshtastic d2cc,0,0,0,Never,offline
2025-11-12 19:07:06,!1300cd1c,INOKOL,-13.75,-13.75,1,2025-11-12 18:40:50,offline
2025-11-12 19:07:06,!2fb70101,Meshtastic 0101,-0.25,-0.25,3,2025-11-12 18:41:10,offline
2025-11-12 19:07:06,!092d4525,༺ᗷɭᑌᗴᗰIᔕT༻  [pf],-14.75,-14.75,2,2025-11-12 18:41:42,offline
2025-11-12 19:07:06,!01996ab0,Mountains Edge,-15.5,-15.5,1,2025-11-12 18:42:00,offline
2025-11-12 19:07:06,!c8f3b7ef,Meshtastic b7ef,0,0,0,Never,offline
2025-11-12 19:07:06,!da55ed28,Chuck Base 1,-15.0,-15.0,3,2025-11-12 19:03:16,online
2025-11-12 19:07:06,!9e767798,Trout-JD-Base,-15.75,-15.75,4,2025-11-12 19:03:54,online
2025-11-12 19:07:06,!0a9d53d1,Meshtastic 53d1,-10.75,-10.75,2,2025-11-12 18:42:34,offline
2025-11-12 19:07:06,!43569c10,Mountains Edge,-9.0,-9.0,0,2025-11-12 19:02:58,online
2025-11-12 19:07:06,!9e75fa10,INOKOL,-14.0,-14.0,2,2025-11-12 18:43:21,offline
2025-11-12 19:07:06,!da639380,Heltec A,-10.75,-10.75,2,2025-11-12 18:54:59,online
2025-11-12 19:07:06,!d1e5e0b0,Meshtastic e0b0,0,0,0,Never,offline
2025-11-12 19:07:06,!27e0965e,Meshtastic 965e,3.5,3.5,2,2025-11-12 18:44:08,offline
2025-11-12 19:07:06,!16cfa1c8,Meshtastic a1c8,-12.0,-12.0,0,2025-11-12 19:05:19,online
2025-11-12 19:07:06,!4ecf8334,Meshtastic 8334,-20.5,-20.5,2,2025-11-12 18:44:46,offline
2025-11-12 19:07:06,!433d8d28,Meshtastic 8d28,6.0,6.0,4,2025-11-12 18:44:57,offline
2025-11-12 19:07:06,!4d5a6dfc,WS7R T-Echo,-16.25,-16.25,3,2025-11-12 18:45:35,offline
2025-11-12 19:07:06,!95a573a0,ALF3-CM,6.75,6.75,4,2025-11-12 19:06:01,online
2025-11-12 19:07:06,!bcf802cd,Meshtastic 02cd,3.75,3.75,3,2025-11-12 18:46:56,offline
2025-11-12 19:07:06,!a2ebd58c,Meshtastic d58c,-0.25,-0.25,0,2025-11-12 18:47:02,offline
2025-11-12 19:07:06,!af20ba43,Ghost Solar,4.5,4.5,1,2025-11-12 19:01:36,online
2025-11-12 19:07:06,!9e9e324c,Meshtastic 324c,4.5,4.5,1,2025-11-12 18:50:13,offline
